"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","79.1901","76.05322","","","","","","","","","","","","","","","","78.38661","","","","","","","","","","","","","","","","94.42509","88.34499","93.45029","87.3388","","","84.27896","74.70309","","","",
"Australia","AUS","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","95.71384","97.68053","97.9356","","","","","","","","","","","","","","","","","","","","","","","","","100.74256","101.14291","","","99.84864","","98.29583","","","","","","","96.20503","97.15492","96.91118","98.80767","99.77036","99.59905","","",
"Azerbaijan","AZE","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.07943","91.61665","95.12796","85.85389","97.25412","94.49772","91.76932","85.49743","93.9815","100.99123","90.24809","94.8575","89.6128","90.93143","98.49185","89.7156","91.42844","88.97885","92.18356","91.59459","86.54668","97.61052","101.61833","109.72021","107.61838","",
"Burundi","BDI","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","3.01891","","6.63134","7.34232","7.99438","7.79481","7.85495","8.17125","8.54588","8.74726","8.91135","10.80879","14.74051","20.17155","20.63189","22.03566","21.40617","30.38611","27.24558","34.19567","42.82506","42.83692","46.12559","","","","","","","22.54683","22.49647","22.66845","25.64517","26.19015","30.09082","","35.65896","38.70919","46.6069","50.17287","56.2331","64.6667","74.72942","75.22813","70.66457","74.52029","74.87083","",
"Belgium","BEL","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","69.20464","70.3104","71.26572","74.02082","74.43075","69.30527","69.9736","76.19699","80.42787","74.53455","77.89628","75.84951","74.51909","73.73841","75.56976","","","82.71798","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","10.03629","11.96336","12.29549","11.36728","13.12827","14.38663","13.62222","15.55474","17.08527","19.65253","18.33162","21.44456","20.25565","18.27642","20.22237","18.47148","17.80018","16.80737","16.71564","11.44953","13.67124","13.59915","14.91378","16.31611","19.49254","20.33333","22.09301","24.03698","","26.03679","29.05467","30.69404","35.17988","40.4329","","","","53.49989","","58.19507","64.07581","65.53871","71.55217","73.55198","76.10685","76.0318","","",
"Burkina Faso","BFA","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","4.74338","4.60242","4.92183","5.01669","5.54791","5.44739","6.3546","6.35499","6.86347","6.7223","7.2905","7.52299","8.20574","9.47733","10.10116","","11.58627","12.41935","12.17051","14.2316","15.12521","21.70019","19.46671","20.4941","15.28254","18.03737","","","19.20854","20.87019","21.61344","22.83926","24.79712","26.16309","27.46569","28.87025","30.68523","34.31217","40.44662","44.11442","","56.03268","62.51241","62.71222","63.5569","64.0678","66.35379","",
"Bangladesh","BGD","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","28.38296","","","","","21.93917","","","","","","","","","","","","","","","","","","","","","","","","66.76475","","","60.06572","66.32305","69.40339","","","","","","","122.97275","",
"Bulgaria","BGR","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","100.64105","102.15762","102.83215","102.117","99.11635","91.26441","87.26088","85.88597","88.31804","87.75514","90.39665","94.25716","93.34895","94.86222","95.71096","100.61422","95.8759","96.67371","98.18856","99.05323","99.44885","100.82228","94.02903","101.90166","113.77296","110.04105","101.38615","98.4353","98.12285","97.07645","94.33074","","",
"Bahrain","BHR","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","81.91489","84.14322","88.82142","89.36851","89.32014","93.72105","99.87428","107.42369","","104.95868","100.92093","98.83268","96.45346","96.73279","94.08552","","95.6953","99.20015","99.21173","98.85118","100.9498","100.24691","105.35198","104.73882","","","","","","91.95087","93.63082","93.00205","96.41006","100.32107","103.0401","100.67781","",
"Bahamas, The","BHS","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.36716","","","","","","107.52762","102.12465","103.72322","102.5166","101.85769","94.78571","","","","","","101.30612","","",
"Bosnia and Herzegovina","BIH","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.75","96.46223","93.52607","93.81399","93.37255","","97.60967","101.50542","105.64597","131.28336","102.60433","100.25877","95.77697","95.28222","94.86034","98.32582","","","106.66237","103.09673","99.39848","98.29341","96.5204","98.09479","100.77945","",
"Belize","BLZ","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.56474","","","89.43812","95.0565","","","98.02358","97.3702","102.03883","","99.14868","97.62893","97.86312","95.98427","101.42505","95.54123","101.21597","98.27541","104.64091","109.00231","101.52866","100.71283","103.6457","105.953","102.72487","",
"Bermuda","BMU","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","74.82639","","","","","","","","","","","","","","","","","","","","","","","","","","94.73684","104.63415","102.98507","","","","","","","","83.6272","78.39196","88.25","","","","","",
"Bolivia","BOL","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.65527","98.78256","96.04864","92.15564","89.55837","90.62497","91.91679","",
"Brazil","BRA","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.57028","96.38736","105.92925","103.89027","106.9965","95.13297","92.49112","90.64116","92.33193","95.63598","97.68693","98.22006","99.08798","","","","","","","",
"Brunei Darussalam","BRN","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","104.75372","104.09066","111.66667","93.79968","106.66667","101.88199","106.33037","98.9957","86.60838","91.75947","77.34711","85.76779","53.96698","","131.26473","","","","","","","","","","","109.13997","112.03373","111.85486","109.9019","112.98385","111.07413","114.05357","110.19796","110.66826","108.00949","107.44775","105.32943","101.89836","104.53614","110.0885","106.17944","105.58709","99.96987","103.00337","","105.15695","",
"Bhutan","BTN","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","4.23509","4.8015","","","","","","","","","","","","","","20.31371","25.09352","","","","40.77206","44.84738","46.05197","46.92758","","","","","71.5547","","81.41317","84.42752","92.67871","91.18557","99.95912","97.58487","100.56015","","102.70232","99.45132","",
"Botswana","BWA","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","37.9856","44.22523","51.18602","","","","","","","76.23502","","89.98251","92.87033","83.8784","83.6515","90.22666","99.39171","101.13512","96.64846","95.45856","96.76157","96.64649","96.37004","94.81726","99.9065","94.64186","96.67333","","97.0697","96.166","96.18527","99.32743","99.53874","99.49798","99.03513","100.23382","103.0524","98.10272","98.64549","98.69397","","","102.29691","103.29485","75.77731","","","","",
"Central African Republic","CAF","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","10.96178","12.85648","15.33678","14.34555","16.95285","18.48747","","19.21947","","","18.18678","17.73462","15.5027","","","26.50343","19.34738","20.37825","18.96913","18.71274","19.32039","15.2119","","","","","","","","","","","","17.28221","19.25638","20.02763","","25.94323","28.51197","29.10172","31.77326","33.95552","","","","33.52613","","",
"Canada","CAN","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.5328","96.02978","97.37869","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.63128","93.27766","91.16593","91.07421","91.48937","91.83403","92.43324","94.77749","96.83736","96.47618","95.90085","96.2357","97.6626","96.84417","97.31173","98.68478","97.44076","96.06554","95.32953","94.2731","95.40959","96.74537","96.84489","95.78059","96.35537","96.14975","97.11494","97.41626","97.43133","",
"Switzerland","CHE","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","52.63824","59.35707","57.35675","55.64846","52.86442","52.22906","52.698","52.17342","50.84447","50.26093","50.10949","49.07335","50.69729","51.59428","53.89841","55.7688","60.53309","61.62164","","72.92946","","","96.87593","98.04985","98.70727","99.27622","99.7749","100.61358","97.98086","94.93777","94.17675","95.10766","97.51052","97.5389","97.60779","98.50026","97.13784","96.10046","96.78473","97.45344","","",
"Channel Islands","CHI","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","82.76118","90.73258","95.20838","96.84013","94.55132","94.10133","95.03838","90.63753","","","","","","97.69396","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.39723","96.62311","95.22198","95.40864","93.66435","92.35038","","",
"China","CHN","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.94647","87.5135","","","","","","","","","89.03339","93.83612","102.80149","105.07759","105.48862","102.71384","","99.22652","","","","","",
"Cote d'Ivoire","CIV","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","22.65785","23.15752","","30.21041","32.96107","34.41294","35.61944","38.24564","41.94783","","39.84695","38.62576","35.09983","34.29334","34.87323","34.32249","33.43613","31.3036","32.83868","30.80152","31.93551","32.78795","31.60987","32.64784","30.60168","32.05676","","33.53319","39.23484","","","","","33.81909","37.14494","","38.51779","","48.14315","47.59902","47.92831","49.60368","55.98655","60.01916","65.96286","",
"Cameroon","CMR","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","38.94892","38.96265","41.04371","42.88554","44.43186","54.29233","46.19307","45.54988","46.03112","45.66593","46.24657","47.84162","49.31202","49.68189","51.419","50.24949","","54.89183","51.59142","","","","","","","","45.19313","47.10972","","","53.58613","54.80826","","48.0235","50.42634","65.80786","65.5763","67.79616","67.06971","70.9041","","70.28337","72.16416","71.41285","66.49175","",
"Congo, Dem. Rep.","COD","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","21.06888","23.05335","","","","34.50249","38.14415","41.64811","","43.12843","46.38871","48.26494","51.93892","55.73688","","","","36.61116","","","38.957","36.19987","45.25206","37.15902","","","","","32.26506","","","34.3161","","","","","44.81166","49.72137","51.82725","54.77845","54.9794","60.64633","62.72308","","70.37636","","","",
"Congo, Rep.","COG","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","48.71871","57.3918","46.44836","56.17199","60.44524","63.33218","65.04003","71.51855","73.61006","74.32164","73.10166","70.04759","71.34125","70.19524","72.33733","73.8442","73.25017","67.2155","58.35936","49.73888","61.9418","62.05854","52.37574","","49.2766","","","31.76847","","56.25048","58.48276","54.15547","76.77898","67.49881","72.10377","71.43461","66.54694","65.07212","65.24423","72.95628","74.46461","","","","","","",
"Colombia","COL","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","36.09467","53.92644","55.02698","58.45493","59.34663","","","","","","","","72.68188","76.26002","76.16845","70.5637","68.70983","72.55093","71.71733","71.12568","83.00056","73.78233","84.9299","82.9782","81.51694","85.89171","87.41151","","94.53358","96.89246","97.49033","","96.51466","","105.76288","110.53584","117.87097","121.02951","121.02903","126.26277","123.93036","119.78469","112.54636","101.29706","99.87075","99.75065","100.71159","104.8777","",
"Comoros","COM","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","55.39503","48.59588","","","","","42.11634","","","","","","","47.26137","","","54.58173","53.79292","60.44427","","","61.55029","64.27851","","","","","76.65896","80.48532","","","77.23447","",
"Cabo Verde","CPV","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","12.44371","13.70639","","15.21499","13.53485","14.93358","14.94413","25.07096","23.82218","19.49132","29.81413","30.40965","35.57473","39.96429","45.88205","","58.78109","","","","73.51559","","","","102.32678","","106.80934","99.61625","100.44757","102.8169","99.11604","87.62553","99.95092","93.5745","99.13116","91.66244","92.88159","89.88589","89.33193","84.19007","85.30408","89.43016","84.77515","81.70776","",
"Costa Rica","CRI","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","77.57499","78.68374","88.48335","91.42205","89.61235","89.41889","83.97226","91.47518","88.20134","84.32705","84.66959","88.41767","89.18018","","","79.28998","78.97844","76.14669","76.97266","76.66038","","81.11777","83.12035","84.61127","83.78415","82.95369","86.22211","","","88.42013","93.39455","96.08189","96.81372","","96.84384","95.69374","92.74159","94.69051","96.79768","98.48847","99.93457","105.87951","103.69792","99.31541","98.45296","99.77004","97.26297","","",
"Caribbean small states","CSS","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","92.30122","91.93812","94.28683","94.07189","95.15175","92.53787","94.37852","95.57587","94.4702","93.90336","91.17435","92.02579","93.993","95.56965","97.64132","97.98239","97.03325","95.74402","93.90375","91.97054","90.03895","90.2568","90.85203","92.51251","94.05865","93.17744","87.71023","89.48708","88.74688","90.64056","91.61212","92.03112","91.75764","92.32397","93.52041","92.14304","93.37357","93.70493","93.43403","","","","","",
"Cuba","CUB","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","70.47125","62.89597","","","","","","","","","","","","","","","","","","","","","","","","","","","95.58649","96.26636","96.00046","101.0986","96.65847","93.55096","93.80168","92.32196","92.58641","88.65584","96.55942","97.60386","98.82749","97.40186","97.14193","102.20815","100.26044","95.60007","92.50573","",
"Curacao","CUW","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","88.79649","87.13011","84.92204","86.90808","78.92638","77.35913","71.37241","76.75545","83.12119","73.44852","90.23642","78.99704","78.44166","76.26992","58.44519","61.01412","68.77114","77.60135","76.51376","78.72302","83.92305","81.66694","100.55854","104.52595","99.81298","96.12532","99.21381","","99.82805","97.27323","98.57838","100.90276","103.19252","86.99913","99.85102","101.41141","99.95973","99.67638","103.32212","100.85892","101.55157","99.69033","97.85683","100.09721","97.79705","","","",
"Czech Republic","CZE","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.74565","104.17768","","107.57716","","","99.67787","99.95223","99.71039","104.44922","98.32754","100.01021","98.61651","93.19357","95.01145","98.37384","103.81361","106.60747","103.19261","100.44461","100.2066","98.26003","96.08107","97.50153","","",
"Germany","DEU","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.24552","96.38974","96.03263","96.59751","98.52679","","100.9179","103.92513","105.46561","101.46317","100.5112","98.9709","96.77939","98.59583","103.77746","102.02061","102.31606","102.00779","101.38226","99.51285","99.43869","98.56692","100.26583","99.24906","","",
"Djibouti","DJI","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","11.71569","12.63062","12.27997","14.0937","12.04354","","","","","","","","","","","","","","","","","","","","","","","19.10745","21.77889","21.37562","","","","29.09266","34.21165","","38.92645","","","46.27218","","42.62997","50.5246","55.97954","57.3657","54.58047","",
"Dominica","DMA","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.39954","","","","","","","","","","","138.00322","124.71729","120.30769","106.66667","98.69942","103.96601","106.29371","94.61756","96.6325","92.12121","84.48276","81.2398","99.4863","102.90909","102.50482","109.79592","116.55914","119.42605","","",
"Denmark","DNK","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","96.97919","93.91042","95.60545","94.32273","","","","","","","93.37783","91.31809","92.58417","97.35581","100.50729","96.85686","98.4761","102.96405","97.10753","95.6696","98.01112","97.28868","99.57841","97.35247","","","","101.8011","101.35924","99.89109","101.52771","105.9975","","100.93671","100.41093","102.27352","101.99514","101.36426","98.21628","99.36483","99.68857","98.99673","100.00603","99.23309","98.31138","102.66111","","",
"Dominican Republic","DOM","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","36.3393","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.35451","81.71895","","94.50691","","88.57807","","87.21432","93.38497","","92.44317","90.81339","92.16612","91.81596","91.29311","90.44835","92.61459","90.92557","","",
"Algeria","DZA","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","29.63101","31.7205","33.0964","38.57183","44.13897","47.44456","49.91722","50.63688","51.63813","54.23341","57.9462","60.33237","63.61826","74.43635","62.60965","65.35248","66.71367","69.65659","69.12355","70.14467","73.36825","73.31807","73.22049","75.58901","79.40558","81.12051","","81.02559","79.47821","85.62084","87.61409","89.10669","91.51132","92.79709","82.734","95.22839","107.00366","92.65098","95.25702","97.20807","101.15859","105.70069","108.75278","105.33353","105.37186","105.69524","",
"East Asia & Pacific (excluding high income)","EAP","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.27201","88.08829","87.07743","88.28896","89.4827","91.0547","92.76085","92.00162","91.67451","91.29844","90.8684","90.34339","93.67587","99.1557","100.97666","102.01855","100.58078","100.78935","99.25893","94.97604","92.51331","95.06794","97.11323","",
"Early-demographic dividend","EAR","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","41.37952","41.45621","41.77306","42.55226","42.84332","43.71361","44.71375","45.9427","46.80274","47.78916","49.54866","51.15198","52.93754","54.7448","56.97767","59.15428","60.55873","61.49243","62.72989","63.28869","63.89245","64.54717","65.64903","66.70256","67.71921","68.65333","68.65552","68.56655","68.95383","69.14678","70.95926","72.66256","74.63091","78.41724","80.67449","82.90921","83.92214","85.88238","87.73553","89.19308","89.88566","89.65409","92.61855","93.77744","94.52934","94.72232","94.06767","94.44327","",
"East Asia & Pacific","EAS","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.02496","88.93227","87.86149","89.01473","90.124","91.55265","93.16309","92.32625","92.16059","91.87578","91.47458","91.03094","94.32267","99.33893","101.03323","101.95773","100.75785","101.0485","99.53231","95.43431","93.1544","95.40841","97.3128","",
"Europe & Central Asia (excluding high income)","ECA","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.50085","94.68281","94.52894","93.60087","93.04538","93.17932","93.1902","92.99206","92.87787","94.97609","96.06241","95.32415","96.3987","97.636","95.87559","94.58442","95.35404","96.71076","97.28538","98.5585","97.71848","98.16423","97.96725","98.89979","97.40102","97.63491","",
"Europe & Central Asia","ECS","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.65784","96.49169","96.05061","95.24218","95.22098","95.32184","95.40598","95.32184","95.3154","96.98247","97.27491","96.84962","97.20861","97.15843","96.12599","96.0126","96.53627","97.21077","97.59046","98.17917","97.54512","97.69829","97.44473","98.28273","97.38609","97.51527","",
"Ecuador","ECU","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","53.47032","53.8928","57.69836","59.90147","64.03801","68.54563","70.58287","70.04688","73.00953","76.05296","","","","","","","91.89922","95.428","","","","","","96.17634","94.01614","93.26633","96.04459","","97.49016","97.26371","98.16056","97.54786","97.20466","96.95481","101.41113","100.76037","101.23538","","","99.98381","107.05575","111.80491","112.769","113.08576","116.38468","109.31327","105.18209","",
"Egypt, Arab Rep.","EGY","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","40.94535","38.77994","41.39825","43.67853","45.33723","46.60378","46.57063","36.4857","23.39937","36.23226","43.43716","","","","","61.5839","","","","","","","","","","","80.53463","","85.77159","84.59291","83.80893","85.1422","84.82831","87.25781","86.75021","85.59207","90.03416","","95.90022","99.50827","","","100.92949","","","94.68839","95.39176","",
"Euro area","EMU","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","95.68594","95.69057","95.9203","96.07048","96.53959","98.2291","97.90314","97.96673","97.69773","97.3973","97.8015","97.60103","97.67856","97.21593","97.71815","97.95467","97.98193","96.85267","97.98786","97.83422","98.46987","98.54314","99.08139","99.24113","98.46536","97.44921","97.58443","97.39175","97.75247","98.03713","98.1576","99.18197","97.81657","97.6551","97.07455","95.69063","95.69655","97.42038","97.75678","97.59273","97.6899","97.46367","96.68431","96.27134","95.9996","96.65162","95.77965","95.78198","",
"Eritrea","ERI","Primary completion rate, female (% of relevant age group)","SE.PRM.CMPT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.32829","20.09429","25.42641","28.10213","","29.44167","32.24105","33.71262","31.25336","34.21458","37.94396","49.23487","47.51489","47.42024","48.26912","50.84652","43.30592","41.07657","37.85706","36.56907","","39.53938","","42.57349","",
